customer_id,age,income,prior_purchases,email_engagement,tenure_months,channel,discount_pct,treatment,response
C000049,68,55284.15,3,0.0978,16,paid_social,0,0,0
C000050,68,101914.62,6,0.0887,37,sms,10,1,0
C000051,70,40384.35,4,0.3071,40,direct_mail,0,1,0
C000052,68,92892.86,5,0.105,31,email,0,1,0
C000053,59,66941.02,3,0.3818,119,email,10,0,0
C000054,52,59125.54,3,0.3761,47,email,15,1,0
C000055,50,72763.65,10,0.3613,89,email,15,1,0
C000056,25,92733.09,3,0.1272,24,email,15,0,0
C000057,70,109887.29,7,0.5323,92,direct_mail,0,0,0
C000058,70,18000.0,6,0.6196,47,email,5,0,0
C000059,25,49686.31,7,0.227,45,sms,10,0,0
C000060,53,61147.33,2,0.193,58,email,20,0,0
C000061,40,36957.07,5,0.33,80,email,15,1,0
C000062,61,62120.42,2,0.1349,22,email,10,0,0
C000063,53,220000.0,5,0.4904,12,paid_social,10,1,0
C000064,52,88917.36,5,0.1002,81,email,15,0,0
C000065,46,49792.8,7,0.027,24,email,20,1,0
C000066,27,63491.22,3,0.6183,20,direct_mail,20,1,0
C000067,63,69581.34,4,0.3797,22,sms,5,0,0
C000068,68,83766.41,11,0.1907,44,sms,10,0,1
C000069,31,47331.87,2,0.2707,108,sms,10,0,0
C000070,46,91355.07,6,0.1898,9,paid_social,20,1,0
C000071,24,35939.69,7,0.2518,74,email,10,1,0
C000072,44,220000.0,2,0.5244,89,email,20,1,0
C000073,27,128414.42,3,0.2962,4,email,10,1,1
C000074,43,78775.01,6,0.1563,43,email,10,1,0
C000075,72,98159.54,3,0.4998,91,paid_social,20,1,0
C000076,28,72993.52,4,0.4417,43,email,0,0,0
C000077,28,74867.21,7,0.2209,2,email,5,0,0
C000078,59,49804.25,6,0.097,84,email,10,1,0
C000079,33,63060.61,4,0.3445,47,email,5,0,0
C000080,21,39726.38,3,0.2118,18,paid_social,0,0,0
C000081,41,56226.25,5,0.5376,114,paid_social,15,1,0
C000082,30,126445.05,5,0.561,47,paid_social,10,0,0
C000083,54,38309.13,1,0.0701,94,paid_social,20,0,0
C000084,50,194524.23,5,0.1188,36,sms,5,1,0
C000085,63,47052.95,4,0.3007,55,sms,10,1,0
C000086,53,77816.93,2,0.2824,1,email,10,1,0
C000087,25,44378.52,4,0.0508,88,paid_social,15,1,0
C000088,24,59295.99,4,0.0524,52,email,15,1,0
C000089,71,81392.02,3,0.239,99,direct_mail,0,0,0
C000090,60,34110.58,5,0.2795,40,sms,0,0,0
C000091,62,53353.54,6,0.5972,88,sms,15,0,0
C000092,65,43142.68,5,0.094,90,email,0,0,0
C000093,38,53377.17,6,0.3074,55,email,20,1,0
C000094,49,58414.62,5,0.1114,81,paid_social,10,0,0
C000095,31,48847.69,4,0.212,119,email,10,0,0
C000096,21,40258.03,3,0.6816,43,direct_mail,10,0,0
C000097,53,43803.94,9,0.2553,12,email,0,1,0
C000098,33,23367.53,4,0.1769,13,paid_social,0,0,0
C000099,53,102405.0,2,0.2244,84,email,10,0,0
C000100,69,69077.96,5,0.3973,33,sms,0,1,0
C000101,35,132592.22,3,0.1627,65,email,10,0,0
C000102,34,105580.28,1,0.3963,31,email,15,1,0
C000103,30,46271.2,4,0.6664,96,direct_mail,15,1,1
C000104,38,18690.88,7,0.0862,26,email,15,0,0
C000105,62,104097.4,8,0.2309,85,direct_mail,15,0,0
C000106,56,88251.3,2,0.3439,46,email,15,1,0
C000107,57,66928.57,5,0.3479,76,direct_mail,15,0,0
C000108,23,35781.81,7,0.3493,26,email,10,0,0
C000109,64,84692.43,4,0.5971,20,email,5,0,0
C000110,60,52642.77,3,0.2436,9,email,10,0,0
C000111,32,46249.13,2,0.5458,105,email,0,0,0
C000112,53,31520.11,2,0.3384,75,direct_mail,15,1,0
C000113,60,59401.6,4,0.6135,28,email,10,1,0
C000114,23,84551.9,2,0.3297,13,email,0,1,0
C000115,25,112041.7,6,0.2899,85,sms,10,0,0
C000116,32,41262.6,2,0.3853,109,email,0,0,0
C000117,21,82847.8,2,0.3016,90,email,15,1,0
C000118,54,52765.36,3,0.2816,80,sms,0,0,0
C000119,30,41086.8,7,0.3124,6,paid_social,10,0,0
C000120,52,75668.14,4,0.4105,80,paid_social,10,1,0
C000121,63,110542.53,6,0.3781,87,direct_mail,0,0,1
C000122,35,30802.61,4,0.658,85,email,15,0,0
C000123,50,150940.4,2,0.6437,19,direct_mail,15,1,0
C000124,55,46037.3,4,0.1177,88,email,5,0,0
C000125,54,50059.27,6,0.5884,5,sms,20,0,0
C000126,35,94239.62,7,0.1104,104,direct_mail,10,0,0
C000127,52,203939.28,7,0.2703,103,sms,15,0,0
C000128,33,81401.91,5,0.4956,35,email,10,0,0
C000129,55,86399.47,3,0.4398,117,email,10,0,0
C000130,36,57520.33,5,0.1546,53,paid_social,0,1,0
C000131,38,50750.08,2,0.2375,78,email,0,0,0
C000132,72,141842.86,3,0.4843,58,email,10,1,0
C000133,59,132059.01,5,0.0209,32,email,5,0,0
C000134,28,61461.28,6,0.4094,44,email,10,0,0
C000135,21,55273.22,4,0.411,86,sms,20,0,0
C000136,26,48273.7,6,0.469,96,paid_social,5,1,0
C000137,41,50876.89,8,0.538,58,email,0,0,0
C000138,69,89611.91,3,0.3528,36,paid_social,10,0,0
C000139,23,49717.21,6,0.3742,110,email,5,1,0
C000140,27,59802.32,3,0.4537,36,sms,0,1,0
C000141,27,44370.11,8,0.0429,69,email,0,1,0
C000142,35,106543.81,3,0.0255,99,email,15,0,0
C000143,69,81468.57,6,0.0678,15,email,20,1,0
C000144,38,130664.97,7,0.0219,104,paid_social,0,1,0
C000145,53,48825.57,3,0.4985,118,sms,15,1,0
C000146,21,45015.63,2,0.3119,1,paid_social,10,1,0
C000147,63,67687.73,5,0.4258,57,direct_mail,5,0,0
C000148,51,148765.74,4,0.0603,70,sms,20,0,0
C000149,53,62966.25,8,0.1626,112,sms,5,1,0
C000150,72,84801.86,5,0.2322,2,paid_social,15,1,0
C000151,51,32615.99,3,0.0919,62,paid_social,10,1,0
C000152,24,44164.32,6,0.1412,41,paid_social,10,1,0
C000153,63,48022.18,0,0.3104,32,email,10,0,0
C000154,50,109401.16,8,0.1399,93,direct_mail,10,1,0
C000155,54,35675.67,4,0.2316,89,sms,20,1,0
C000156,23,31619.96,7,0.3908,103,direct_mail,0,1,0
C000157,48,70837.68,3,0.0518,54,paid_social,15,1,0
C000158,68,41073.33,2,0.1715,77,paid_social,10,1,0
C000159,51,60581.83,4,0.5168,98,email,15,0,0
C000160,43,71066.33,7,0.0252,58,email,10,0,1
C000161,51,49912.74,4,0.4384,31,email,15,1,0
C000162,23,92285.99,7,0.5482,66,email,15,1,0
C000163,39,94822.7,5,0.116,14,sms,0,0,0
C000164,67,91680.91,4,0.2143,71,email,15,1,0
C000165,57,122553.46,7,0.3895,7,paid_social,10,0,0
C000166,36,66213.76,3,0.3177,95,direct_mail,10,0,0
C000167,42,78895.6,4,0.0877,53,paid_social,10,1,0
C000168,24,89445.94,4,0.125,22,sms,5,1,0
C000169,56,77653.78,7,0.1523,50,email,15,0,0
C000170,63,77758.08,8,0.1139,79,email,20,0,0
C000171,47,44889.84,5,0.4936,65,paid_social,10,1,0
C000172,55,121375.83,4,0.1046,86,email,15,0,0
C000173,61,48731.45,2,0.1067,54,email,15,0,0
C000174,63,47264.68,6,0.4529,70,email,20,0,0
C000175,58,40219.31,1,0.438,90,email,5,1,1
C000176,58,73651.55,4,0.1515,79,paid_social,15,1,0
C000177,23,48808.52,1,0.0747,46,email,5,1,1
C000178,38,51024.44,0,0.2391,112,email,0,1,0
C000179,63,87670.65,2,0.3288,77,email,10,1,0
C000180,63,34512.46,5,0.0349,31,email,15,0,0
C000181,69,104811.62,4,0.0954,119,direct_mail,5,1,0
C000182,37,81597.95,5,0.2645,68,email,0,0,0
C000183,38,29619.47,5,0.2725,11,direct_mail,15,0,0
C000184,73,124727.02,4,0.0278,86,email,15,0,0
C000185,60,56577.22,8,0.5029,77,direct_mail,20,0,0
C000186,23,82944.17,4,0.3288,55,email,20,1,0
C000187,66,76987.51,6,0.2991,22,paid_social,10,0,0
C000188,38,22683.63,4,0.1467,113,email,5,0,0
C000189,47,109228.53,6,0.4311,1,direct_mail,20,1,0
C000190,62,41707.06,5,0.3993,97,paid_social,5,0,0
C000191,27,63682.01,2,0.0861,105,paid_social,5,1,0
C000192,55,55178.52,6,0.1351,117,email,0,1,0
C000193,60,159876.42,5,0.1354,113,email,5,0,0
C000194,56,131724.47,4,0.4098,20,sms,5,1,0
C000195,66,78301.25,5,0.7077,60,email,20,0,0
C000196,74,78807.52,2,0.1407,72,email,0,0,0
C000197,37,57766.64,4,0.2042,113,paid_social,5,0,0
C000198,29,54962.06,2,0.38,68,sms,10,1,0
C000199,32,38356.98,3,0.21,46,sms,10,0,0
C000200,47,43071.9,3,0.3352,72,sms,15,0,0
C000201,62,54679.52,8,0.0969,69,direct_mail,15,0,0
C000202,51,25586.77,11,0.5155,80,email,5,1,0
C000203,48,83061.78,10,0.1654,59,sms,20,0,0
C000204,69,27174.92,3,0.0977,34,email,15,1,0
C000205,21,109711.38,2,0.2175,68,email,0,1,0
C000206,67,117943.53,4,0.0987,104,email,15,0,0
C000207,31,64111.9,6,0.4363,72,paid_social,15,0,0
C000208,66,107963.34,3,0.2485,17,email,10,1,0
C000209,32,118680.92,5,0.2637,66,email,5,0,0
C000210,62,49188.23,3,0.4231,34,email,10,1,0
C000211,52,76200.03,6,0.3834,81,email,5,1,0
C000212,48,84340.12,4,0.2562,36,email,10,1,0
C000213,51,55867.96,4,0.6049,103,email,15,0,0
C000214,63,33084.02,3,0.0987,55,email,0,0,0
C000215,48,67599.15,2,0.2981,104,direct_mail,10,0,0
C000216,21,80695.51,5,0.0684,36,paid_social,0,1,0
C000217,39,72975.35,7,0.4225,112,email,10,1,0
C000218,55,104636.51,6,0.3087,24,paid_social,5,0,0
C000219,42,85440.03,7,0.3561,88,email,15,0,0
C000220,26,38300.09,3,0.4129,57,email,0,1,0
C000221,48,48378.21,6,0.1271,47,email,5,1,0
C000222,25,86247.41,3,0.3757,46,email,5,1,0
C000223,51,119414.83,3,0.4085,101,email,15,0,0
C000224,51,137281.81,4,0.4347,42,email,15,1,0
C000225,51,55123.03,7,0.1088,97,email,0,0,0
C000226,62,207093.43,2,0.7179,54,sms,0,0,0
C000227,59,35755.33,2,0.366,92,sms,15,0,0
C000228,51,54585.09,2,0.2523,94,paid_social,0,0,0
C000229,74,29670.7,5,0.4925,81,sms,15,0,0
C000230,62,40385.94,7,0.1451,65,sms,0,1,0
C000231,61,168667.24,3,0.864,17,sms,20,0,0
C000232,49,89215.8,2,0.5118,72,sms,15,1,0
C000233,47,58223.59,3,0.6111,115,paid_social,0,1,0
C000234,59,69350.11,2,0.5196,63,direct_mail,15,0,0
C000235,73,37864.19,3,0.2084,85,sms,0,1,0
C000236,57,102424.87,5,0.2938,44,email,0,0,0
C000237,27,87738.57,4,0.4439,51,sms,15,0,0
C000238,63,34698.6,0,0.3635,31,paid_social,0,0,0
C000239,72,53512.34,3,0.3108,57,email,10,0,1
C000240,37,204588.34,7,0.0312,113,email,5,1,0
C000241,48,25553.12,5,0.1944,13,direct_mail,5,0,0
C000242,68,77224.52,4,0.4639,54,email,5,0,0
C000243,47,39569.52,6,0.5576,118,sms,10,0,0
C000244,33,77974.45,5,0.0798,79,email,0,1,0
C000245,66,48871.08,8,0.3649,115,email,15,0,0
C000246,22,66271.69,3,0.4824,47,sms,0,1,0
C000247,53,50930.98,6,0.2431,105,email,10,0,0
C000248,45,36863.72,3,0.3398,2,email,15,1,0
C000249,65,54882.17,2,0.233,27,direct_mail,5,0,0
C000250,29,41437.55,8,0.2825,17,email,0,0,0
C000251,40,63348.55,6,0.096,3,sms,10,1,0
C000252,55,84423.61,3,0.6584,75,sms,0,0,0
C000253,50,41367.77,9,0.4429,4,paid_social,10,1,1
C000254,68,105618.69,5,0.1759,76,email,10,0,0
C000255,56,49697.76,3,0.2375,83,email,5,1,0
C000256,49,61394.69,10,0.1905,96,email,0,1,0
C000257,33,58400.69,2,0.1162,92,paid_social,5,1,0
C000258,59,34738.83,5,0.3324,106,paid_social,10,1,0
C000259,62,25438.83,8,0.1238,33,sms,20,1,0
C000260,55,81605.32,4,0.0098,42,sms,10,0,0
C000261,29,74203.64,3,0.628,88,direct_mail,0,0,0
C000262,51,91967.34,2,0.04,110,email,10,1,0
C000263,28,121559.98,2,0.5359,59,paid_social,0,1,0
C000264,68,69258.09,4,0.1944,84,email,10,1,0
C000265,35,27706.48,7,0.4667,85,sms,20,1,0
C000266,44,39651.77,1,0.3725,105,sms,15,0,0
C000267,64,55169.81,6,0.7208,82,email,15,1,0
C000268,29,28274.19,0,0.6612,60,email,0,1,0
C000269,46,66294.34,7,0.1256,115,paid_social,5,1,0
C000270,59,55685.04,3,0.0946,6,email,15,0,0
C000271,22,44842.42,6,0.2404,57,paid_social,10,0,0
C000272,71,80416.03,5,0.3699,74,direct_mail,10,0,0
C000273,31,32560.36,4,0.1655,20,email,15,1,0
C000274,52,68203.57,0,0.0697,38,email,15,1,0
C000275,51,83471.05,4,0.2709,108,paid_social,15,0,0
C000276,54,32704.56,3,0.3112,92,email,0,0,0
C000277,24,55061.18,5,0.1726,65,direct_mail,15,1,0
C000278,71,73329.06,7,0.015,48,sms,15,1,0
C000279,38,96505.04,7,0.3707,52,paid_social,5,1,0
C000280,48,94936.11,2,0.4865,82,direct_mail,0,0,0
C000281,32,32122.53,1,0.2372,25,sms,10,1,0
C000282,72,82743.62,3,0.3376,63,email,10,0,0
C000283,58,85434.07,2,0.172,19,email,0,0,0
C000284,27,44739.27,3,0.239,30,email,0,1,0
C000285,28,84880.87,0,0.3694,2,email,10,1,0
C000286,62,55946.81,3,0.4735,73,email,0,0,0
C000287,41,69998.15,1,0.3698,91,email,20,0,0
C000288,35,82670.12,7,0.1175,107,paid_social,15,0,0
C000289,45,62331.15,6,0.1517,54,email,20,1,0
C000290,36,96450.62,3,0.284,60,email,15,0,0
C000291,69,138105.19,5,0.4869,46,sms,20,1,0
C000292,47,111951.29,3,0.0271,104,paid_social,5,0,0
C000293,42,36404.99,5,0.6283,29,email,10,0,0
C000294,35,53194.52,5,0.3744,36,email,0,1,0
C000295,28,54505.58,7,0.2944,33,email,0,0,0
C000296,70,85905.74,4,0.2197,110,email,10,0,0
C000297,43,113394.43,1,0.3095,57,paid_social,0,0,0
C000298,55,47660.7,4,0.0125,64,sms,0,0,0
C000299,41,78622.89,3,0.3189,8,email,0,1,0
C000300,63,24247.25,4,0.0705,44,sms,15,0,0
C000301,51,55809.6,5,0.5398,106,sms,20,0,0
C000302,29,101693.75,11,0.4116,72,email,0,1,0
C000303,27,77084.71,4,0.1069,24,email,0,0,0
C000304,61,65258.9,2,0.4389,31,email,15,1,0
C000305,43,83845.77,3,0.499,28,sms,15,0,0
C000306,34,67545.76,2,0.2855,63,sms,0,0,0
C000307,56,85735.54,2,0.6347,24,direct_mail,0,0,0
C000308,54,74880.31,6,0.5243,113,email,20,1,0
C000309,43,103321.55,5,0.0963,113,paid_social,10,1,0
C000310,32,124222.6,5,0.1918,13,paid_social,5,0,0
C000311,72,60847.83,1,0.3129,88,direct_mail,20,0,0
C000312,62,62340.84,4,0.3152,57,direct_mail,0,1,0
C000313,40,163213.25,3,0.1028,42,email,0,1,0
C000314,46,107272.12,6,0.3892,22,direct_mail,5,1,0
C000315,68,59021.4,4,0.4585,116,email,10,0,0
C000316,55,70853.71,4,0.2556,52,paid_social,5,1,0
C000317,38,68024.48,3,0.1178,100,sms,5,0,0
C000318,33,83819.05,5,0.0665,29,paid_social,10,1,0
C000319,42,20934.63,8,0.2375,64,direct_mail,10,0,0
C000320,34,61656.33,5,0.2634,47,sms,15,1,0
C000321,59,74041.55,4,0.5766,99,paid_social,10,1,0
C000322,31,69291.71,6,0.6909,85,sms,15,1,0
C000323,50,74202.44,0,0.4385,71,paid_social,5,1,0
C000324,31,55665.15,3,0.423,43,sms,5,0,0
C000325,71,76882.91,6,0.5299,100,sms,15,1,1
C000326,41,57610.18,2,0.1301,40,direct_mail,10,1,0
C000327,68,66031.56,3,0.1778,5,email,15,1,0
C000328,28,25925.88,4,0.4328,2,paid_social,10,0,0
C000329,36,76697.54,6,0.3234,31,email,15,0,0
C000330,60,49561.18,4,0.1503,28,paid_social,0,0,0
C000331,38,123400.46,7,0.0595,52,sms,15,1,0
C000332,40,87586.13,4,0.344,89,sms,5,1,0
C000333,55,58487.66,6,0.2522,64,email,15,1,0
C000334,74,40552.18,5,0.3129,7,email,20,0,1
C000335,63,98377.54,1,0.0176,90,email,15,0,0
C000336,70,65316.61,7,0.3914,9,email,10,1,0
C000337,27,49957.99,6,0.3056,15,direct_mail,0,0,0
C000338,62,46426.87,6,0.0669,64,email,0,1,0
C000339,69,32553.99,5,0.106,77,email,5,0,0
C000340,68,19234.09,3,0.2945,111,email,10,0,1
C000341,40,40575.32,4,0.4797,34,email,5,1,0
C000342,61,76748.45,5,0.3029,18,email,5,0,0
C000343,28,31483.55,1,0.4184,80,paid_social,0,0,0
C000344,63,168511.01,6,0.2754,45,email,0,1,0
C000345,35,57197.13,9,0.1955,5,email,20,1,0
C000346,40,44320.99,3,0.1138,118,email,0,0,0
C000347,64,163753.19,6,0.1209,94,direct_mail,10,0,0
C000348,59,107800.21,3,0.4924,11,sms,20,0,0
C000349,34,71382.9,6,0.2747,31,sms,10,0,0
C000350,33,59877.49,2,0.3589,39,email,0,0,0
C000351,27,49156.64,2,0.134,111,email,10,1,0
C000352,55,42891.42,2,0.0883,36,email,10,1,0
C000353,53,61399.24,2,0.2152,20,email,15,1,0
C000354,32,65236.13,3,0.4025,5,email,0,0,0
C000355,70,97286.49,1,0.4026,34,email,15,0,0
C000356,52,57502.66,7,0.2119,26,direct_mail,10,0,0
C000357,37,56193.3,6,0.4508,72,email,15,0,0
C000358,65,61036.35,4,0.0878,78,email,0,1,0
C000359,48,160706.06,2,0.2349,78,email,0,1,0
C000360,54,67411.97,9,0.0811,117,email,15,1,0
C000361,41,90243.04,6,0.4054,82,email,5,0,0
C000362,69,59871.93,9,0.3212,116,sms,15,0,0
C000363,71,54564.87,5,0.1089,63,email,20,1,0
C000364,52,29484.91,3,0.0793,108,email,0,0,0
C000365,67,70578.95,7,0.185,54,direct_mail,10,0,0
C000366,66,66000.49,3,0.3355,32,email,10,0,0
C000367,47,63239.24,6,0.206,6,direct_mail,10,1,0
C000368,32,40773.06,9,0.4754,10,email,5,0,0
C000369,73,57844.08,6,0.2544,94,direct_mail,0,1,0
C000370,43,33074.68,4,0.5846,67,paid_social,15,1,0
C000371,33,83135.13,2,0.1218,33,email,15,1,0
C000372,39,62733.01,2,0.5573,20,direct_mail,10,0,0
C000373,43,90712.62,6,0.4556,9,sms,15,0,0
C000374,57,98820.44,6,0.3035,86,sms,15,1,0
C000375,51,80643.27,7,0.4588,18,sms,0,0,0
C000376,67,27818.35,6,0.1798,31,email,10,1,0
C000377,62,53934.23,6,0.1286,13,email,5,1,0
C000378,53,40237.63,4,0.1716,100,email,15,0,0
C000379,59,46653.31,4,0.2075,12,paid_social,10,0,0
C000380,42,62258.07,12,0.1908,14,email,10,1,0
C000381,43,117362.75,1,0.6867,49,sms,0,1,0
C000382,28,96398.0,5,0.1208,102,email,20,1,0
C000383,71,44950.26,4,0.2828,62,email,20,0,0
C000384,23,54264.88,5,0.1609,96,sms,5,1,0
C000385,74,54193.07,5,0.7863,116,sms,5,1,0
C000386,28,76519.02,4,0.2767,96,sms,10,1,0
C000387,66,52352.15,3,0.2055,108,email,15,0,1
C000388,50,60968.78,1,0.2332,83,email,5,1,0
C000389,45,50006.31,3,0.0679,6,direct_mail,10,0,0
C000390,21,135156.02,2,0.0706,64,email,5,0,0
C000391,65,68939.43,7,0.4301,40,email,0,1,0
C000392,65,96040.54,6,0.619,36,direct_mail,20,1,0
C000393,35,79623.59,8,0.2823,75,email,15,0,0
C000394,73,27493.88,5,0.2284,20,paid_social,15,1,0
C000395,30,74559.99,3,0.3744,99,direct_mail,15,1,0
C000396,28,39552.37,5,0.4558,95,email,10,1,0
C000397,25,49327.11,3,0.2287,25,email,0,0,0
C000398,45,50228.82,6,0.1147,28,sms,15,0,0
C000399,64,53937.34,3,0.1049,104,email,15,0,0
C000400,21,93858.27,1,0.116,90,direct_mail,5,1,0
C000401,73,48490.95,5,0.498,112,email,5,0,0
C000402,34,64263.84,2,0.0395,34,paid_social,10,1,0
C000403,37,76927.77,3,0.2174,92,paid_social,10,1,0
C000404,48,37787.68,7,0.0767,19,paid_social,20,1,0
C000405,59,99556.05,2,0.4921,32,sms,15,1,0
C000406,38,48118.4,5,0.2976,38,email,0,1,0
C000407,35,97301.09,5,0.1515,12,email,0,1,0
C000408,33,143025.83,2,0.1766,113,sms,10,1,0
C000409,62,44056.79,1,0.4061,6,email,20,0,0
C000410,74,160126.12,5,0.6972,68,email,10,0,0
C000411,30,95402.06,3,0.5377,75,paid_social,20,1,0
C000412,32,131132.29,2,0.1764,8,paid_social,0,0,0
C000413,48,115048.09,2,0.2592,12,email,15,0,0
C000414,39,19455.68,4,0.1541,53,email,5,0,0
C000415,63,22010.87,4,0.2575,27,paid_social,0,0,0
C000416,37,51946.72,6,0.4047,43,email,15,0,0
C000417,73,81544.0,4,0.1043,5,email,5,1,0
C000418,59,38091.87,3,0.1488,58,email,10,1,0
C000419,57,77058.65,2,0.2136,63,email,0,0,0
C000420,56,60459.23,7,0.3501,1,sms,10,0,0
C000421,58,71648.98,4,0.1988,95,email,20,1,0
C000422,58,76581.8,7,0.2307,58,paid_social,5,0,0
C000423,42,52888.37,4,0.2786,94,direct_mail,10,1,0
C000424,57,130187.39,9,0.2108,21,direct_mail,15,1,0
C000425,30,113952.0,5,0.2545,33,sms,15,1,0
C000426,59,71977.61,2,0.3942,24,email,5,1,0
C000427,64,84570.37,5,0.476,100,email,10,0,1
C000428,58,34827.58,7,0.2256,34,email,0,1,0
C000429,25,24492.5,6,0.6261,64,email,10,1,0
C000430,22,65336.8,5,0.187,63,email,5,1,0
C000431,61,39372.18,6,0.3384,37,email,10,0,0
C000432,37,68505.56,5,0.2036,5,email,0,1,0
C000433,37,34469.77,4,0.3271,24,direct_mail,10,0,0
C000434,51,41933.62,0,0.3674,91,email,20,0,0
C000435,23,95204.01,4,0.3295,31,sms,15,1,0
C000436,45,30832.24,4,0.318,52,email,0,0,1
C000437,29,92832.63,5,0.4181,96,sms,5,1,0
C000438,64,58055.22,8,0.0653,101,sms,10,1,0
C000439,49,30056.18,4,0.2007,25,email,10,1,0
C000440,54,34795.67,8,0.2393,24,sms,10,0,0
C000441,38,20807.39,7,0.0822,103,sms,0,0,0
C000442,31,37640.39,3,0.2149,62,email,0,0,0
C000443,28,85350.8,7,0.1307,21,email,15,0,0
C000444,61,25958.12,2,0.2678,37,direct_mail,5,1,1
C000445,38,60739.4,3,0.2271,107,direct_mail,5,0,0
C000446,48,130562.52,5,0.3111,111,sms,15,0,0
C000447,64,41432.58,4,0.3174,1,sms,0,0,0
C000448,54,121330.22,7,0.2573,40,email,15,0,0
C000449,60,30569.54,4,0.2741,20,email,5,0,0
C000450,30,90861.68,5,0.2025,116,sms,10,0,0
C000451,46,57863.9,6,0.4681,38,email,5,0,0
C000452,55,62904.03,1,0.2315,22,email,20,1,0
C000453,40,78504.27,8,0.0841,12,email,10,1,0
C000454,44,46202.9,5,0.1654,114,sms,5,1,0
C000455,74,49120.78,9,0.2762,88,sms,10,0,0
C000456,23,62786.16,7,0.6422,66,direct_mail,10,1,1
C000457,48,152316.73,3,0.3004,112,paid_social,10,0,0
C000458,50,220000.0,4,0.4939,81,paid_social,0,0,0
C000459,57,55705.19,5,0.175,97,sms,20,1,0
C000460,29,70485.58,4,0.4454,107,direct_mail,0,0,0
C000461,66,41447.58,6,0.5495,67,direct_mail,10,1,0
C000462,71,189914.85,7,0.8758,36,sms,0,0,0
C000463,48,59734.51,9,0.2638,107,direct_mail,10,0,0
C000464,70,106644.98,2,0.336,63,direct_mail,15,1,0
C000465,54,47561.18,4,0.0947,106,sms,0,1,0
C000466,40,53634.92,3,0.6273,103,email,5,1,0
C000467,45,56192.44,4,0.1433,66,direct_mail,10,1,0
C000468,27,44761.35,3,0.4855,103,email,0,1,0
C000469,66,82154.82,5,0.2295,116,email,5,1,0
C000470,49,89535.26,3,0.3206,115,email,10,1,0
C000471,62,119014.13,2,0.2331,45,paid_social,0,0,0
C000472,55,46771.94,2,0.1181,57,paid_social,5,0,0
C000473,45,35542.84,4,0.4875,62,email,10,1,0
C000474,54,88122.42,2,0.0306,61,email,0,0,0
C000475,65,66478.96,10,0.5899,54,email,10,0,0
C000476,27,55094.5,5,0.3533,25,email,15,0,0
C000477,33,91014.61,4,0.3882,74,email,5,0,0
