transaction_id,timestamp,amount,merchant_risk,transactions_last_hour,distance_from_home_km,card_present,foreign_transaction,fraud
T0000086,2026-01-01 07:10:00,21.94,0.1413,0,44.36,1,0,0
T0000087,2026-01-01 07:15:00,14.25,0.0997,0,10.38,1,0,0
T0000088,2026-01-01 07:20:00,71.25,0.494,1,23.56,1,0,0
T0000089,2026-01-01 07:25:00,42.65,0.2592,2,60.22,1,0,0
T0000090,2026-01-01 07:30:00,21.67,0.5684,1,30.43,1,0,0
T0000091,2026-01-01 07:35:00,43.31,0.3325,0,55.63,0,0,0
T0000092,2026-01-01 07:40:00,15.8,0.0811,3,46.62,1,0,0
T0000093,2026-01-01 07:45:00,63.57,0.2881,2,4.5,1,0,0
T0000094,2026-01-01 07:50:00,22.08,0.0789,3,2.86,1,0,0
T0000095,2026-01-01 07:55:00,39.78,0.4667,1,70.74,0,0,0
T0000096,2026-01-01 08:00:00,6.1,0.1128,2,8.26,0,0,0
T0000097,2026-01-01 08:05:00,31.4,0.2081,3,13.4,0,0,0
T0000098,2026-01-01 08:10:00,4.1,0.1787,2,56.41,1,0,0
T0000099,2026-01-01 08:15:00,2.9,0.1419,3,49.91,1,0,0
T0000100,2026-01-01 08:20:00,16.37,0.146,1,5.95,1,0,0
T0000101,2026-01-01 08:25:00,9.03,0.1246,1,84.42,0,0,0
T0000102,2026-01-01 08:30:00,26.16,0.0576,2,25.69,1,0,0
T0000103,2026-01-01 08:35:00,209.51,0.0855,0,21.57,1,0,0
T0000104,2026-01-01 08:40:00,9.66,0.1883,4,24.69,1,0,0
T0000105,2026-01-01 08:45:00,11.89,0.0181,1,20.01,1,0,0
T0000106,2026-01-01 08:50:00,27.26,0.1324,2,13.12,0,0,0
T0000107,2026-01-01 08:55:00,36.34,0.095,0,4.95,0,1,0
T0000108,2026-01-01 09:00:00,18.61,0.0899,3,14.16,0,0,0
T0000109,2026-01-01 09:05:00,18.07,0.078,3,10.33,1,0,0
T0000110,2026-01-01 09:10:00,44.81,0.2392,0,40.03,1,0,0
T0000111,2026-01-01 09:15:00,37.33,0.2651,1,90.56,1,0,0
T0000112,2026-01-01 09:20:00,7.9,0.1434,3,13.61,1,0,0
T0000113,2026-01-01 09:25:00,20.51,0.1111,1,10.74,1,0,0
T0000114,2026-01-01 09:30:00,23.0,0.2177,1,5.45,1,1,0
T0000115,2026-01-01 09:35:00,7.73,0.3339,4,143.1,0,0,0
T0000116,2026-01-01 09:40:00,28.78,0.105,0,13.36,0,1,0
T0000117,2026-01-01 09:45:00,9.41,0.2208,3,8.05,1,0,0
T0000118,2026-01-01 09:50:00,58.68,0.1183,3,34.39,1,0,0
T0000119,2026-01-01 09:55:00,26.92,0.1039,0,92.2,0,0,0
T0000120,2026-01-01 10:00:00,24.27,0.0272,0,10.66,1,0,0
T0000121,2026-01-01 10:05:00,12.29,0.0587,3,9.05,1,0,0
T0000122,2026-01-01 10:10:00,19.72,0.0396,1,9.63,0,0,0
T0000123,2026-01-01 10:15:00,3.01,0.1505,2,50.38,1,0,0
T0000124,2026-01-01 10:20:00,7.16,0.0268,5,63.78,0,0,0
T0000125,2026-01-01 10:25:00,31.91,0.3408,1,94.27,1,0,0
T0000126,2026-01-01 10:30:00,2.64,0.0591,1,25.73,1,0,0
T0000127,2026-01-01 10:35:00,51.76,0.1849,3,1.31,1,0,0
T0000128,2026-01-01 10:40:00,3.87,0.0266,1,5.01,1,0,0
T0000129,2026-01-01 10:45:00,47.31,0.1037,4,104.7,0,0,0
T0000130,2026-01-01 10:50:00,9.53,0.0517,4,95.1,1,0,0
T0000131,2026-01-01 10:55:00,48.38,0.0378,0,0.76,0,0,0
T0000132,2026-01-01 11:00:00,25.3,0.3592,2,96.41,0,0,0
T0000133,2026-01-01 11:05:00,4.77,0.161,0,27.33,0,0,0
T0000134,2026-01-01 11:10:00,77.41,0.0421,2,87.18,0,0,0
T0000135,2026-01-01 11:15:00,93.85,0.2053,3,15.95,1,0,0
T0000136,2026-01-01 11:20:00,20.78,0.1046,5,35.81,1,0,0
T0000137,2026-01-01 11:25:00,16.88,0.3854,2,12.18,1,0,0
T0000138,2026-01-01 11:30:00,18.92,0.4624,5,22.91,0,0,0
T0000139,2026-01-01 11:35:00,8.37,0.0225,3,66.15,1,0,0
T0000140,2026-01-01 11:40:00,66.59,0.0323,3,69.29,1,0,0
T0000141,2026-01-01 11:45:00,12.9,0.179,6,53.65,1,0,0
T0000142,2026-01-01 11:50:00,21.09,0.1891,1,9.51,1,0,0
T0000143,2026-01-01 11:55:00,10.04,0.2167,2,18.49,0,0,0
T0000144,2026-01-01 12:00:00,11.87,0.1616,1,13.62,1,0,0
T0000145,2026-01-01 12:05:00,6.19,0.0425,1,102.53,0,0,0
T0000146,2026-01-01 12:10:00,78.03,0.1019,0,32.84,1,0,0
T0000147,2026-01-01 12:15:00,19.03,0.0313,2,16.54,1,0,0
T0000148,2026-01-01 12:20:00,58.32,0.0062,3,78.74,1,0,0
T0000149,2026-01-01 12:25:00,22.5,0.1466,2,56.4,1,0,0
T0000150,2026-01-01 12:30:00,11.09,0.0436,1,51.86,1,0,0
T0000151,2026-01-01 12:35:00,16.01,0.1613,1,10.05,1,0,0
T0000152,2026-01-01 12:40:00,12.68,0.36,0,41.12,1,0,0
T0000153,2026-01-01 12:45:00,22.38,0.0309,1,2.71,0,0,0
T0000154,2026-01-01 12:50:00,15.25,0.1006,3,124.08,1,0,0
T0000155,2026-01-01 12:55:00,16.45,0.4206,4,116.56,1,0,0
T0000156,2026-01-01 13:00:00,5.59,0.27,2,18.94,1,0,0
T0000157,2026-01-01 13:05:00,9.91,0.1334,0,20.46,0,0,0
T0000158,2026-01-01 13:10:00,116.05,0.0251,2,35.22,1,0,0
T0000159,2026-01-01 13:15:00,11.34,0.2832,0,21.56,1,0,0
T0000160,2026-01-01 13:20:00,7.74,0.1739,1,85.89,1,0,0
T0000161,2026-01-01 13:25:00,31.1,0.2336,4,79.02,1,0,0
T0000162,2026-01-01 13:30:00,90.67,0.2648,2,4.52,1,0,0
T0000163,2026-01-01 13:35:00,5.19,0.1528,0,35.56,1,0,0
T0000164,2026-01-01 13:40:00,18.02,0.0651,2,31.79,0,0,0
T0000165,2026-01-01 13:45:00,11.8,0.0775,2,6.44,0,0,0
T0000166,2026-01-01 13:50:00,3.82,0.0712,4,36.57,1,0,0
T0000167,2026-01-01 13:55:00,46.29,0.2281,2,10.53,1,0,0
T0000168,2026-01-01 14:00:00,21.68,0.2261,2,12.47,1,0,0
T0000169,2026-01-01 14:05:00,23.84,0.0822,2,8.35,1,0,0
T0000170,2026-01-01 14:10:00,10.46,0.0358,0,18.85,1,0,0
T0000171,2026-01-01 14:15:00,34.98,0.0298,2,51.71,1,0,0
T0000172,2026-01-01 14:20:00,12.94,0.0829,2,61.33,0,0,0
T0000173,2026-01-01 14:25:00,19.24,0.0548,2,67.08,0,0,0
T0000174,2026-01-01 14:30:00,7.33,0.1171,3,11.23,0,0,0
T0000175,2026-01-01 14:35:00,6.58,0.069,4,16.85,1,0,0
T0000176,2026-01-01 14:40:00,84.4,0.2628,2,54.24,1,0,0
T0000177,2026-01-01 14:45:00,13.37,0.0244,0,6.04,1,0,0
T0000178,2026-01-01 14:50:00,29.72,0.1346,3,69.17,1,0,0
T0000179,2026-01-01 14:55:00,21.46,0.2788,1,24.18,1,0,0
T0000180,2026-01-01 15:00:00,14.28,0.1465,2,38.6,0,0,0
T0000181,2026-01-01 15:05:00,13.36,0.2437,2,25.16,1,0,0
T0000182,2026-01-01 15:10:00,41.68,0.214,1,1.47,1,0,0
T0000183,2026-01-01 15:15:00,16.41,0.1281,2,8.11,1,0,0
T0000184,2026-01-01 15:20:00,19.08,0.2162,2,8.64,1,1,0
T0000185,2026-01-01 15:25:00,22.7,0.1531,1,65.53,1,0,0
T0000186,2026-01-01 15:30:00,71.99,0.1447,4,41.86,1,0,0
T0000187,2026-01-01 15:35:00,43.84,0.2553,1,24.43,1,0,0
T0000188,2026-01-01 15:40:00,32.54,0.0128,4,28.42,1,0,0
T0000189,2026-01-01 15:45:00,12.63,0.18,1,35.38,1,0,0
T0000190,2026-01-01 15:50:00,5.57,0.0435,2,30.43,1,0,0
T0000191,2026-01-01 15:55:00,57.37,0.1132,5,2.92,1,0,0
T0000192,2026-01-01 16:00:00,58.35,0.0788,0,12.56,0,0,0
T0000193,2026-01-01 16:05:00,19.28,0.1764,1,63.21,1,0,0
T0000194,2026-01-01 16:10:00,38.16,0.005,0,3.43,1,0,0
T0000195,2026-01-01 16:15:00,48.49,0.2271,1,75.63,1,0,0
T0000196,2026-01-01 16:20:00,50.97,0.3084,2,2.24,1,0,0
T0000197,2026-01-01 16:25:00,55.78,0.2338,1,76.77,1,0,0
T0000198,2026-01-01 16:30:00,14.07,0.0493,2,27.59,1,0,0
T0000199,2026-01-01 16:35:00,100.99,0.0434,1,12.78,1,0,0
T0000200,2026-01-01 16:40:00,6.38,0.158,1,32.94,1,0,0
T0000201,2026-01-01 16:45:00,52.55,0.0601,2,28.61,0,0,0
T0000202,2026-01-01 16:50:00,36.38,0.1671,1,0.66,0,0,0
T0000203,2026-01-01 16:55:00,53.18,0.0379,1,53.65,1,0,0
T0000204,2026-01-01 17:00:00,145.33,0.2525,2,11.26,1,0,0
T0000205,2026-01-01 17:05:00,97.95,0.0396,2,17.01,0,0,0
T0000206,2026-01-01 17:10:00,7.06,0.0769,3,180.21,1,0,0
T0000207,2026-01-01 17:15:00,4.1,0.2316,1,6.21,0,0,0
T0000208,2026-01-01 17:20:00,50.24,0.0421,3,0.26,1,0,0
T0000209,2026-01-01 17:25:00,8.04,0.0866,5,46.13,1,0,0
T0000210,2026-01-01 17:30:00,21.92,0.1242,1,9.63,0,0,0
T0000211,2026-01-01 17:35:00,51.4,0.2183,0,0.03,1,0,0
T0000212,2026-01-01 17:40:00,4.29,0.0863,0,9.26,1,0,0
T0000213,2026-01-01 17:45:00,2.69,0.289,3,14.35,1,0,0
T0000214,2026-01-01 17:50:00,28.77,0.0208,2,16.21,0,0,0
T0000215,2026-01-01 17:55:00,23.21,0.1017,1,59.58,1,0,0
T0000216,2026-01-01 18:00:00,17.36,0.3148,0,29.87,1,1,0
T0000217,2026-01-01 18:05:00,23.07,0.0615,1,82.71,0,0,0
T0000218,2026-01-01 18:10:00,9.39,0.1257,1,120.51,1,0,0
T0000219,2026-01-01 18:15:00,4.89,0.0136,3,66.64,0,0,0
T0000220,2026-01-01 18:20:00,18.79,0.2999,1,25.66,0,0,0
T0000221,2026-01-01 18:25:00,8.4,0.3014,3,36.59,1,0,0
T0000222,2026-01-01 18:30:00,4.29,0.0579,4,21.87,0,0,0
T0000223,2026-01-01 18:35:00,36.81,0.1135,2,28.34,1,0,0
T0000224,2026-01-01 18:40:00,20.88,0.3486,2,65.81,1,0,0
T0000225,2026-01-01 18:45:00,33.33,0.1063,2,51.13,1,0,0
T0000226,2026-01-01 18:50:00,8.25,0.1151,2,18.01,1,0,0
T0000227,2026-01-01 18:55:00,11.5,0.2941,2,51.87,1,0,0
T0000228,2026-01-01 19:00:00,8.17,0.0376,1,24.5,1,0,0
T0000229,2026-01-01 19:05:00,9.15,0.0579,0,10.14,1,0,0
T0000230,2026-01-01 19:10:00,26.99,0.0935,0,10.17,1,0,0
T0000231,2026-01-01 19:15:00,10.15,0.4083,0,38.08,1,0,0
T0000232,2026-01-01 19:20:00,31.69,0.407,1,40.79,0,0,0
T0000233,2026-01-01 19:25:00,31.18,0.0214,3,50.16,1,0,0
T0000234,2026-01-01 19:30:00,168.2,0.107,1,52.93,1,0,0
T0000235,2026-01-01 19:35:00,5.51,0.0498,0,19.26,1,0,0
T0000236,2026-01-01 19:40:00,53.94,0.0658,2,14.58,0,0,0
T0000237,2026-01-01 19:45:00,20.3,0.0903,1,28.1,1,0,0
T0000238,2026-01-01 19:50:00,21.89,0.0976,4,5.81,1,0,0
T0000239,2026-01-01 19:55:00,5.21,0.0453,2,1.73,1,1,0
T0000240,2026-01-01 20:00:00,14.01,0.1173,0,24.5,0,0,0
T0000241,2026-01-01 20:05:00,46.67,0.0287,3,55.63,1,0,0
T0000242,2026-01-01 20:10:00,20.44,0.1331,2,5.53,0,0,0
T0000243,2026-01-01 20:15:00,24.07,0.1585,0,6.08,1,0,0
T0000244,2026-01-01 20:20:00,16.6,0.0216,3,18.68,1,0,0
T0000245,2026-01-01 20:25:00,70.43,0.0065,0,5.89,1,0,0
T0000246,2026-01-01 20:30:00,21.73,0.1811,1,40.31,1,0,0
T0000247,2026-01-01 20:35:00,2.46,0.0916,3,0.3,1,0,0
T0000248,2026-01-01 20:40:00,11.11,0.3652,4,26.63,1,0,0
T0000249,2026-01-01 20:45:00,3.1,0.0905,4,22.87,1,1,0
T0000250,2026-01-01 20:50:00,1.0,0.0956,0,24.19,0,0,0
T0000251,2026-01-01 20:55:00,13.06,0.3212,3,38.24,0,0,0
T0000252,2026-01-01 21:00:00,84.23,0.0423,2,2.99,1,0,0
T0000253,2026-01-01 21:05:00,23.27,0.1045,3,28.68,1,0,0
T0000254,2026-01-01 21:10:00,6.87,0.0682,2,15.95,1,0,0
T0000255,2026-01-01 21:15:00,8.67,0.2453,1,3.1,0,0,0
T0000256,2026-01-01 21:20:00,68.76,0.0773,1,94.94,0,0,0
T0000257,2026-01-01 21:25:00,25.99,0.1407,0,53.48,1,0,0
T0000258,2026-01-01 21:30:00,23.29,0.0643,2,4.06,0,0,0
T0000259,2026-01-01 21:35:00,21.04,0.1059,3,7.23,0,0,0
T0000260,2026-01-01 21:40:00,23.07,0.1836,2,144.46,0,0,0
T0000261,2026-01-01 21:45:00,49.67,0.0956,1,5.6,0,0,0
T0000262,2026-01-01 21:50:00,38.57,0.2021,1,49.78,1,0,0
T0000263,2026-01-01 21:55:00,27.54,0.0783,5,60.06,1,0,0
T0000264,2026-01-01 22:00:00,7.82,0.0806,1,18.39,1,0,0
T0000265,2026-01-01 22:05:00,37.01,0.1023,1,44.42,1,0,0
T0000266,2026-01-01 22:10:00,11.2,0.0864,4,12.01,1,0,0
T0000267,2026-01-01 22:15:00,66.28,0.2426,1,4.44,1,1,0
T0000268,2026-01-01 22:20:00,6.23,0.1573,3,7.83,1,0,0
T0000269,2026-01-01 22:25:00,19.34,0.0562,1,1.17,1,1,0
T0000270,2026-01-01 22:30:00,22.04,0.0446,1,0.77,1,0,0
T0000271,2026-01-01 22:35:00,5.9,0.3548,2,13.35,0,0,0
T0000272,2026-01-01 22:40:00,124.21,0.0955,1,34.43,0,0,0
T0000273,2026-01-01 22:45:00,95.62,0.2715,1,33.77,1,0,0
T0000274,2026-01-01 22:50:00,13.96,0.0511,2,29.27,1,0,0
T0000275,2026-01-01 22:55:00,48.02,0.0372,1,46.78,1,0,0
T0000276,2026-01-01 23:00:00,32.42,0.1495,3,4.11,1,0,0
T0000277,2026-01-01 23:05:00,1.63,0.1334,3,18.02,0,0,0
T0000278,2026-01-01 23:10:00,28.51,0.164,3,30.19,1,0,0
T0000279,2026-01-01 23:15:00,20.88,0.0734,1,3.03,0,0,0
T0000280,2026-01-01 23:20:00,24.12,0.5959,2,51.92,0,0,0
T0000281,2026-01-01 23:25:00,7.56,0.1447,0,0.38,1,0,0
T0000282,2026-01-01 23:30:00,16.96,0.1967,3,23.66,1,0,0
T0000283,2026-01-01 23:35:00,18.57,0.1562,0,4.04,1,0,0
T0000284,2026-01-01 23:40:00,72.83,0.2053,1,30.5,1,0,0
T0000285,2026-01-01 23:45:00,31.01,0.2561,2,58.77,1,0,0
T0000286,2026-01-01 23:50:00,22.07,0.1371,2,7.52,0,0,0
T0000287,2026-01-01 23:55:00,102.41,0.1098,1,7.6,1,0,0
T0000288,2026-01-02 00:00:00,12.74,0.2794,5,74.28,0,0,0
T0000289,2026-01-02 00:05:00,15.04,0.2806,3,17.98,1,0,0
T0000290,2026-01-02 00:10:00,3.61,0.0181,5,22.3,0,0,0
T0000291,2026-01-02 00:15:00,106.6,0.0838,3,81.64,1,0,0
T0000292,2026-01-02 00:20:00,58.23,0.2822,1,33.86,1,0,0
T0000293,2026-01-02 00:25:00,55.53,0.1331,1,29.39,1,0,0
T0000294,2026-01-02 00:30:00,43.33,0.2217,2,0.32,0,0,0
T0000295,2026-01-02 00:35:00,24.78,0.1303,4,6.21,1,0,0
T0000296,2026-01-02 00:40:00,27.54,0.4524,2,82.53,0,0,0
T0000297,2026-01-02 00:45:00,17.25,0.2971,1,23.97,1,0,0
T0000298,2026-01-02 00:50:00,18.11,0.3565,1,5.6,1,0,0
T0000299,2026-01-02 00:55:00,23.44,0.07,1,126.83,1,0,0
T0000300,2026-01-02 01:00:00,100.67,0.0464,1,6.23,1,0,0
T0000301,2026-01-02 01:05:00,38.69,0.0182,2,8.39,1,0,0
T0000302,2026-01-02 01:10:00,20.94,0.0761,4,15.08,0,0,0
T0000303,2026-01-02 01:15:00,12.44,0.1902,1,0.54,1,0,0
T0000304,2026-01-02 01:20:00,11.76,0.0173,0,18.1,0,0,0
T0000305,2026-01-02 01:25:00,110.24,0.2743,1,3.99,1,0,0
T0000306,2026-01-02 01:30:00,36.84,0.2174,1,1.16,1,0,0
T0000307,2026-01-02 01:35:00,23.75,0.1879,0,44.14,0,0,0
T0000308,2026-01-02 01:40:00,15.7,0.0847,2,52.11,0,0,0
T0000309,2026-01-02 01:45:00,7.32,0.1064,0,69.2,1,0,0
T0000310,2026-01-02 01:50:00,20.76,0.0561,1,253.26,0,0,0
T0000311,2026-01-02 01:55:00,53.18,0.0576,1,5.35,0,0,0
T0000312,2026-01-02 02:00:00,14.99,0.0802,2,15.37,0,0,0
T0000313,2026-01-02 02:05:00,17.69,0.0261,1,92.02,0,1,0
T0000314,2026-01-02 02:10:00,17.8,0.1752,1,20.52,1,0,0
T0000315,2026-01-02 02:15:00,24.77,0.0554,0,4.42,1,0,0
T0000316,2026-01-02 02:20:00,4.51,0.2356,0,12.78,1,0,0
T0000317,2026-01-02 02:25:00,17.54,0.2385,2,91.09,1,0,0
T0000318,2026-01-02 02:30:00,9.45,0.0799,0,75.02,1,0,0
T0000319,2026-01-02 02:35:00,53.76,0.0066,4,29.9,0,0,0
T0000320,2026-01-02 02:40:00,10.27,0.1794,4,35.58,0,0,0
T0000321,2026-01-02 02:45:00,39.53,0.1916,3,11.09,1,0,0
T0000322,2026-01-02 02:50:00,101.95,0.2573,1,13.84,1,0,0
T0000323,2026-01-02 02:55:00,16.22,0.122,1,102.79,1,0,0
T0000324,2026-01-02 03:00:00,12.16,0.1499,1,31.44,1,0,0
T0000325,2026-01-02 03:05:00,26.88,0.1059,2,0.58,1,0,0
T0000326,2026-01-02 03:10:00,22.15,0.1077,1,140.59,1,0,0
T0000327,2026-01-02 03:15:00,8.22,0.122,0,69.36,0,0,0
T0000328,2026-01-02 03:20:00,35.2,0.1533,0,2.25,1,0,0
T0000329,2026-01-02 03:25:00,166.59,0.151,0,26.19,0,0,0
T0000330,2026-01-02 03:30:00,17.15,0.1655,2,53.5,1,0,0
T0000331,2026-01-02 03:35:00,18.12,0.3159,0,59.97,1,0,0
T0000332,2026-01-02 03:40:00,7.81,0.0505,4,45.83,1,1,0
T0000333,2026-01-02 03:45:00,30.54,0.1973,1,7.56,0,0,0
T0000334,2026-01-02 03:50:00,6.38,0.0655,3,16.38,0,0,0
T0000335,2026-01-02 03:55:00,7.34,0.1288,1,35.15,0,0,0
T0000336,2026-01-02 04:00:00,79.81,0.257,1,40.41,1,0,0
T0000337,2026-01-02 04:05:00,8.98,0.1387,2,26.75,1,0,0
T0000338,2026-01-02 04:10:00,65.45,0.2038,3,5.05,0,0,0
T0000339,2026-01-02 04:15:00,101.94,0.0257,2,11.58,1,0,0
T0000340,2026-01-02 04:20:00,28.77,0.2422,3,57.04,1,0,0
T0000341,2026-01-02 04:25:00,38.61,0.1618,1,16.47,1,0,0
T0000342,2026-01-02 04:30:00,156.37,0.332,2,9.02,0,0,0
T0000343,2026-01-02 04:35:00,18.23,0.07,2,21.63,1,0,0
T0000344,2026-01-02 04:40:00,12.27,0.1785,2,4.23,1,0,0
T0000345,2026-01-02 04:45:00,5.74,0.3346,0,3.19,1,0,0
T0000346,2026-01-02 04:50:00,23.14,0.1727,0,11.76,1,0,0
T0000347,2026-01-02 04:55:00,97.43,0.0777,2,77.06,1,0,0
T0000348,2026-01-02 05:00:00,57.95,0.0517,0,26.22,0,0,0
T0000349,2026-01-02 05:05:00,8.65,0.139,2,45.35,1,1,0
T0000350,2026-01-02 05:10:00,9.44,0.0641,1,24.81,1,0,0
T0000351,2026-01-02 05:15:00,13.41,0.1315,0,11.65,1,0,0
T0000352,2026-01-02 05:20:00,29.73,0.1586,1,9.93,1,0,0
T0000353,2026-01-02 05:25:00,18.08,0.0874,1,19.37,1,0,0
T0000354,2026-01-02 05:30:00,27.51,0.2001,2,2.28,1,0,0
T0000355,2026-01-02 05:35:00,29.87,0.0414,3,12.12,0,1,0
T0000356,2026-01-02 05:40:00,16.46,0.1217,1,44.39,0,0,0
