order_id,order_date,region,segment,category,product,unit_price,quantity,discount,revenue,cost,profit,customer_id,date_key
10017,2024-06-16,West,Small Business,Software,Analytics Pro,1668.0,9,0.15,12760.2,9538.42,3221.78,C4104,20240616
10018,2025-12-05,South,Enterprise,Software,Antivirus Pro,122.83,7,0.05,816.82,557.95,258.87,C3731,20251205
10019,2024-08-22,North,Small Business,Software,Office Suite,1150.87,3,0.0,3452.61,1698.19,1754.42,C4840,20240822
10020,2024-03-08,South,Enterprise,Hardware,Desktop Tower,1301.62,7,0.1,8200.21,5107.32,3092.89,C5488,20240308
10021,2024-08-05,West,Small Business,Hardware,"Monitor 27""",1281.8,3,0.0,3845.4,2586.97,1258.43,C9755,20240805
10022,2024-05-26,East,Consumer,Accessories,Headset,1017.83,4,0.15,3460.62,1859.23,1601.39,C7892,20240526
10023,2025-08-21,West,Enterprise,Software,Office Suite,975.86,4,0.15,3317.92,2188.51,1129.41,C4157,20250821
10024,2024-08-12,South,Enterprise,Software,Antivirus Pro,1585.92,9,0.0,14273.28,8703.66,5569.62,C4627,20240812
10025,2024-02-18,North,Consumer,Hardware,"Laptop 15""",754.97,7,0.1,4756.31,2669.72,2086.59,C8392,20240218
10026,2025-11-27,West,Enterprise,Accessories,USB-C Cable,496.39,9,0.1,4020.76,3020.62,1000.14,C8526,20251127
10027,2025-01-25,West,Enterprise,Software,Analytics Pro,303.9,9,0.0,2735.1,1893.65,841.45,C1663,20250125
10028,2024-01-12,North,Enterprise,Hardware,Desktop Tower,1697.75,6,0.0,10186.5,6573.71,3612.79,C4763,20240112
10029,2025-10-18,East,Consumer,Software,Office Suite,660.26,1,0.0,660.26,354.17,306.09,C8554,20251018
10030,2024-06-10,West,Consumer,Hardware,Desktop Tower,547.87,1,0.2,438.3,238.16,200.14,C5737,20240610
10031,2025-05-27,South,Enterprise,Accessories,Headset,745.17,7,0.0,5216.19,4005.48,1210.71,C6249,20250527
10032,2025-10-16,South,Consumer,Software,Antivirus Pro,959.9,6,0.0,5759.4,3946.61,1812.79,C1202,20251016
10033,2025-07-06,North,Enterprise,Software,Office Suite,671.05,1,0.05,637.5,368.94,268.56,C3931,20250706
10034,2024-01-20,North,Small Business,Software,Antivirus Pro,1770.31,6,0.0,10621.86,5115.5,5506.36,C9800,20240120
10035,2024-02-29,South,Enterprise,Accessories,Mouse,278.94,6,0.05,1589.96,1193.15,396.81,C3811,20240229
10036,2025-05-12,North,Enterprise,Accessories,Keyboard,1222.52,3,0.05,3484.18,2555.04,929.14,C3911,20250512
10037,2025-11-06,West,Enterprise,Accessories,Headset,181.25,9,0.05,1549.69,907.12,642.57,C3385,20251106
10038,2025-06-24,West,Consumer,Hardware,"Laptop 15""",1509.34,9,0.0,13584.06,10509.21,3074.85,C5061,20250624
10039,2025-12-31,East,Small Business,Hardware,Desktop Tower,1255.15,7,0.05,8346.75,6143.44,2203.31,C3049,20251231
10040,2025-03-24,West,Consumer,Accessories,Keyboard,1793.29,5,0.15,7621.48,5118.48,2503.0,C8400,20250324
10041,2024-03-06,East,Consumer,Hardware,"Laptop 15""",634.43,3,0.1,1712.96,1013.35,699.61,C2648,20240306
10042,2025-08-25,South,Consumer,Accessories,Mouse,298.48,6,0.05,1701.34,1111.38,589.96,C3557,20250825
10043,2024-08-22,North,Consumer,Software,Antivirus Pro,1692.78,9,0.0,15235.02,7713.23,7521.79,C5433,20240822
10044,2025-06-10,South,Small Business,Hardware,"Monitor 27""",878.73,3,0.05,2504.38,1323.55,1180.83,C9352,20250610
10045,2024-08-07,South,Enterprise,Hardware,"Monitor 27""",41.37,5,0.0,206.85,119.61,87.24,C2218,20240807
10046,2024-09-05,West,Small Business,Accessories,Mouse,1186.78,1,0.0,1186.78,745.4,441.38,C4446,20240905
10047,2024-04-09,West,Small Business,Software,Office Suite,457.58,6,0.2,2196.38,1362.55,833.83,C6895,20240409
10048,2025-04-23,North,Enterprise,Hardware,"Laptop 13""",1139.37,2,0.0,2278.74,1539.94,738.8,C8022,20250423
10049,2024-03-03,West,Enterprise,Software,Antivirus Pro,891.1,5,0.0,4455.5,2783.43,1672.07,C8683,20240303
10050,2024-09-11,South,Consumer,Hardware,"Monitor 27""",52.55,1,0.0,52.55,41.94,10.61,C3205,20240911
10051,2024-05-23,West,Consumer,Software,Office Suite,1717.49,5,0.1,7728.71,5500.54,2228.17,C2060,20240523
10052,2024-09-12,North,Small Business,Hardware,"Laptop 13""",1671.62,1,0.0,1671.62,1087.06,584.56,C1699,20240912
10053,2024-02-21,North,Consumer,Accessories,Keyboard,1536.74,5,0.0,7683.7,4179.67,3504.03,C4394,20240221
10054,2025-02-20,West,Small Business,Accessories,USB-C Cable,312.56,9,0.0,2813.04,2097.05,715.99,C6442,20250220
10055,2024-03-01,South,Small Business,Accessories,USB-C Cable,1029.98,8,0.0,8239.84,5643.47,2596.37,C2686,20240301
10056,2024-09-28,West,Small Business,Software,Analytics Pro,259.89,2,0.0,519.78,388.29,131.49,C8560,20240928
10057,2025-07-23,West,Consumer,Accessories,Headset,1267.15,7,0.0,8870.05,6504.2,2365.85,C6986,20250723
10058,2024-08-10,North,Enterprise,Hardware,"Laptop 13""",467.87,8,0.15,3181.52,2001.08,1180.44,C8992,20240810
10059,2024-11-17,North,Consumer,Hardware,"Monitor 27""",1133.56,4,0.05,4307.53,2996.7,1310.83,C5495,20241117
10060,2025-05-29,South,Consumer,Hardware,"Laptop 13""",99.93,3,0.0,299.79,174.31,125.48,C6919,20250529
10061,2024-07-09,North,Enterprise,Accessories,Keyboard,1044.7,6,0.0,6268.2,3160.83,3107.37,C2148,20240709
10062,2025-02-17,North,Enterprise,Accessories,Mouse,1511.53,6,0.0,9069.18,4204.4,4864.78,C4854,20250217
10063,2025-09-26,North,Small Business,Hardware,Desktop Tower,654.1,5,0.0,3270.5,2353.12,917.38,C4051,20250926
10064,2024-09-24,South,Enterprise,Hardware,Desktop Tower,1737.77,7,0.0,12164.39,5694.01,6470.38,C8027,20240924
10065,2024-09-01,East,Small Business,Accessories,Headset,745.73,3,0.05,2125.33,1496.51,628.82,C5465,20240901
10066,2025-04-13,East,Consumer,Accessories,USB-C Cable,933.69,3,0.1,2520.96,1373.4,1147.56,C6177,20250413
10067,2025-09-28,North,Consumer,Hardware,"Laptop 15""",149.52,5,0.0,747.6,357.58,390.02,C2150,20250928
10068,2025-06-02,East,Consumer,Software,Antivirus Pro,1255.49,5,0.0,6277.45,4835.68,1441.77,C8805,20250602
10069,2024-09-07,East,Small Business,Accessories,USB-C Cable,177.13,9,0.05,1514.46,829.89,684.57,C4343,20240907
10070,2025-07-10,East,Enterprise,Hardware,"Laptop 13""",934.4,5,0.05,4438.4,2649.1,1789.3,C4147,20250710
10071,2025-11-14,East,Enterprise,Accessories,Keyboard,1022.77,3,0.1,2761.48,1256.58,1504.9,C6188,20251114
10072,2024-09-27,North,Consumer,Hardware,"Laptop 15""",177.64,4,0.0,710.56,324.02,386.54,C7617,20240927
10073,2024-10-05,East,Enterprise,Accessories,Headset,889.48,7,0.0,6226.36,3814.49,2411.87,C5452,20241005
10074,2024-07-27,East,Enterprise,Software,Office Suite,722.72,6,0.05,4119.5,1919.1,2200.4,C8390,20240727
10075,2024-02-22,North,Enterprise,Software,Office Suite,36.41,3,0.0,109.23,81.9,27.33,C5611,20240222
10076,2024-02-15,North,Small Business,Accessories,Headset,1111.99,7,0.15,6616.34,4985.54,1630.8,C7303,20240215
10077,2024-06-14,West,Enterprise,Hardware,"Monitor 27""",1692.95,8,0.05,12866.42,8371.9,4494.52,C5000,20240614
10078,2025-07-28,North,Consumer,Accessories,Keyboard,1461.87,5,0.05,6943.88,5118.68,1825.2,C4913,20250728
10079,2025-07-12,North,Small Business,Hardware,"Laptop 15""",379.17,2,0.0,758.34,505.35,252.99,C9967,20250712
10080,2025-03-16,South,Consumer,Software,Office Suite,699.25,2,0.0,1398.5,872.12,526.38,C1825,20250316
10081,2024-02-10,East,Consumer,Hardware,"Laptop 15""",1256.86,8,0.05,9552.14,6984.7,2567.44,C9867,20240210
10082,2025-11-13,North,Small Business,Hardware,"Monitor 27""",326.79,9,0.0,2941.11,1916.35,1024.76,C2122,20251113
10083,2025-09-27,South,Consumer,Accessories,Keyboard,748.0,2,0.0,1496.0,977.17,518.83,C7806,20250927
10084,2025-02-26,North,Consumer,Hardware,Desktop Tower,1675.99,5,0.0,8379.95,5764.95,2615.0,C3914,20250226
10085,2025-02-25,South,Small Business,Accessories,Mouse,193.69,1,0.0,193.69,120.82,72.87,C1728,20250225
10086,2025-01-26,North,Small Business,Accessories,Keyboard,582.21,3,0.0,1746.63,792.61,954.02,C8400,20250126
10087,2025-04-16,East,Small Business,Accessories,Keyboard,1526.23,9,0.0,13736.07,10748.77,2987.3,C5946,20250416
10088,2024-01-25,South,Small Business,Software,Office Suite,892.01,5,0.0,4460.05,2947.44,1512.61,C6588,20240125
10089,2024-03-12,East,Small Business,Hardware,"Monitor 27""",1356.5,7,0.1,8545.95,4185.06,4360.89,C8860,20240312
10090,2025-11-26,East,Consumer,Accessories,Headset,894.51,7,0.2,5009.26,2352.12,2657.14,C8330,20251126
10091,2024-07-01,East,Consumer,Accessories,USB-C Cable,1598.88,2,0.15,2718.1,1877.69,840.41,C1953,20240701
10092,2024-12-19,East,Small Business,Hardware,"Laptop 13""",1116.23,6,0.0,6697.38,4656.95,2040.43,C7313,20241219
10093,2025-01-29,South,Small Business,Accessories,USB-C Cable,719.4,2,0.0,1438.8,690.18,748.62,C2365,20250129
10094,2024-01-02,South,Small Business,Software,Antivirus Pro,1464.72,7,0.2,8202.43,5853.93,2348.5,C4141,20240102
10095,2025-11-11,East,Enterprise,Software,Analytics Pro,1277.35,3,0.1,3448.84,2226.02,1222.82,C5186,20251111
10096,2024-05-07,East,Enterprise,Software,Analytics Pro,454.46,3,0.0,1363.38,848.59,514.79,C5748,20240507
10097,2025-02-22,East,Small Business,Hardware,Desktop Tower,734.72,4,0.0,2938.88,1443.38,1495.5,C4072,20250222
10098,2025-07-21,South,Consumer,Software,Analytics Pro,1228.74,9,0.0,11058.66,6082.25,4976.41,C1823,20250721
10099,2025-01-23,South,Enterprise,Hardware,Desktop Tower,955.31,5,0.15,4060.07,1844.3,2215.77,C7316,20250123
10100,2025-02-19,North,Small Business,Software,Antivirus Pro,86.3,5,0.0,431.5,333.82,97.68,C6348,20250219
10101,2025-03-16,East,Small Business,Software,Office Suite,462.11,3,0.15,1178.38,746.01,432.37,C2256,20250316
10102,2025-11-22,South,Enterprise,Software,Analytics Pro,397.31,1,0.05,377.44,247.04,130.4,C3703,20251122
10103,2024-06-22,North,Small Business,Hardware,Desktop Tower,1329.15,8,0.0,10633.2,5182.25,5450.95,C5468,20240622
10104,2024-04-05,South,Enterprise,Software,Antivirus Pro,505.79,4,0.0,2023.16,1160.63,862.53,C1539,20240405
10105,2024-07-22,South,Consumer,Accessories,Keyboard,148.22,9,0.0,1333.98,811.91,522.07,C8102,20240722
10106,2025-05-01,North,Small Business,Software,Analytics Pro,969.15,1,0.0,969.15,640.58,328.57,C1924,20250501
10107,2025-08-12,South,Enterprise,Hardware,"Monitor 27""",247.53,3,0.1,668.33,522.92,145.41,C1255,20250812
10108,2025-05-21,West,Consumer,Accessories,Mouse,1049.86,9,0.0,9448.74,7336.52,2112.22,C8409,20250521
10109,2024-04-19,West,Consumer,Accessories,USB-C Cable,996.89,5,0.0,4984.45,2899.76,2084.69,C3193,20240419
10110,2024-02-21,South,Consumer,Software,Antivirus Pro,1777.21,1,0.0,1777.21,1266.0,511.21,C4925,20240221
10111,2025-04-20,East,Small Business,Hardware,"Monitor 27""",1494.03,1,0.1,1344.63,825.66,518.97,C8266,20250420
10112,2025-07-15,West,Consumer,Hardware,"Monitor 27""",248.73,5,0.0,1243.65,936.04,307.61,C3000,20250715
10113,2025-04-05,East,Consumer,Hardware,Desktop Tower,966.01,5,0.2,3864.04,2489.99,1374.05,C8140,20250405
10114,2025-06-17,West,Enterprise,Accessories,Headset,1309.48,3,0.0,3928.44,2387.28,1541.16,C6997,20250617
10115,2025-03-26,North,Enterprise,Software,Antivirus Pro,459.33,4,0.0,1837.32,1258.74,578.58,C4419,20250326
10116,2024-10-05,East,Small Business,Hardware,"Laptop 13""",490.19,7,0.05,3259.76,2060.52,1199.24,C1770,20241005
10117,2024-05-21,South,Consumer,Software,Analytics Pro,940.61,1,0.0,940.61,607.94,332.67,C8901,20240521
10118,2024-06-05,South,Consumer,Software,Office Suite,1427.15,1,0.0,1427.15,656.59,770.56,C2252,20240605
10119,2024-12-04,West,Small Business,Accessories,Keyboard,1119.97,2,0.1,2015.95,1544.43,471.52,C7881,20241204
10120,2025-03-06,West,Enterprise,Hardware,"Laptop 13""",636.9,2,0.05,1210.11,779.54,430.57,C2331,20250306
10121,2025-08-12,West,Small Business,Accessories,Headset,989.48,1,0.1,890.53,524.34,366.19,C5854,20250812
10122,2024-11-01,West,Small Business,Hardware,"Laptop 15""",946.77,1,0.15,804.75,403.56,401.19,C7327,20241101
10123,2025-05-14,South,Small Business,Software,Office Suite,1517.19,1,0.0,1517.19,926.54,590.65,C8941,20250514
10124,2024-01-30,West,Small Business,Hardware,"Monitor 27""",891.28,3,0.0,2673.84,1633.83,1040.01,C7238,20240130
10125,2024-06-18,West,Consumer,Hardware,"Laptop 13""",725.94,8,0.0,5807.52,4029.12,1778.4,C9472,20240618
10126,2025-02-07,North,Consumer,Hardware,"Monitor 27""",1615.15,3,0.0,4845.45,3830.76,1014.69,C7777,20250207
10127,2024-05-18,West,Consumer,Accessories,Headset,409.91,5,0.0,2049.55,1122.14,927.41,C4900,20240518
10128,2025-01-23,East,Consumer,Software,Office Suite,65.96,6,0.0,395.76,241.92,153.84,C3393,20250123
10129,2024-12-11,West,Small Business,Software,Office Suite,1610.54,1,0.0,1610.54,1113.91,496.63,C8240,20241211
10130,2024-03-24,West,Consumer,Hardware,"Laptop 13""",174.29,9,0.05,1490.18,937.44,552.74,C3878,20240324
10131,2024-12-24,South,Enterprise,Accessories,Mouse,684.72,1,0.0,684.72,501.33,183.39,C2276,20241224
10132,2024-02-01,South,Consumer,Accessories,Keyboard,1775.39,8,0.0,14203.12,9464.81,4738.31,C9150,20240201
10133,2024-09-01,South,Small Business,Hardware,"Laptop 13""",960.5,2,0.05,1824.95,844.66,980.29,C6126,20240901
10134,2025-07-31,South,Small Business,Hardware,Desktop Tower,1239.71,7,0.0,8677.97,5521.27,3156.7,C9172,20250731
10135,2025-01-12,South,Enterprise,Hardware,"Laptop 13""",1562.18,6,0.0,9373.08,5013.33,4359.75,C9152,20250112
10136,2024-06-16,East,Consumer,Hardware,"Laptop 13""",1329.69,7,0.0,9307.83,4877.37,4430.46,C8641,20240616
10137,2024-11-15,West,Small Business,Hardware,"Laptop 15""",967.79,9,0.1,7839.1,5156.23,2682.87,C8561,20241115
10138,2024-03-18,South,Consumer,Hardware,Desktop Tower,1422.41,2,0.0,2844.82,1814.96,1029.86,C8943,20240318
10139,2025-12-01,North,Enterprise,Accessories,Headset,1059.48,3,0.0,3178.44,1805.69,1372.75,C3739,20251201
10140,2025-06-29,West,Enterprise,Software,Antivirus Pro,1165.84,2,0.0,2331.68,1455.87,875.81,C4812,20250629
10141,2025-06-02,East,Consumer,Software,Office Suite,1681.24,5,0.0,8406.2,4232.53,4173.67,C6622,20250602
10142,2024-04-18,West,Small Business,Hardware,"Monitor 27""",882.67,8,0.1,6355.22,3038.32,3316.9,C9434,20240418
10143,2025-12-25,South,Small Business,Accessories,Headset,41.67,5,0.2,166.68,81.54,85.14,C8489,20251225
10144,2025-09-22,West,Small Business,Software,Analytics Pro,1040.61,4,0.0,4162.44,3293.63,868.81,C3551,20250922
10145,2025-08-29,East,Small Business,Accessories,Mouse,1303.71,9,0.05,11146.72,7103.39,4043.33,C7316,20250829
10146,2024-10-12,West,Consumer,Software,Analytics Pro,1387.16,6,0.15,7074.52,4943.91,2130.61,C9915,20241012
10147,2025-09-16,West,Small Business,Accessories,USB-C Cable,918.13,1,0.0,918.13,640.42,277.71,C2828,20250916
10148,2024-11-28,South,Small Business,Accessories,Headset,915.43,4,0.0,3661.72,2408.9,1252.82,C1009,20241128
10149,2024-09-21,East,Small Business,Hardware,Desktop Tower,991.55,2,0.0,1983.1,1454.52,528.58,C9512,20240921
10150,2025-07-23,North,Enterprise,Accessories,Mouse,257.64,9,0.1,2086.88,1374.16,712.72,C4490,20250723
10151,2024-09-04,West,Small Business,Hardware,"Laptop 15""",633.82,1,0.1,570.44,405.63,164.81,C2908,20240904
10152,2025-12-08,West,Enterprise,Hardware,"Monitor 27""",1317.98,9,0.0,11861.82,6912.24,4949.58,C3560,20251208
10153,2025-04-03,North,Consumer,Software,Antivirus Pro,1336.35,6,0.0,8018.1,5801.34,2216.76,C7413,20250403
10154,2025-02-18,South,Small Business,Hardware,Desktop Tower,1440.97,3,0.0,4322.91,3177.78,1145.13,C8546,20250218
10155,2025-04-29,East,Small Business,Hardware,Desktop Tower,1144.06,4,0.0,4576.24,3001.59,1574.65,C7943,20250429
10156,2024-12-26,West,Small Business,Software,Office Suite,837.66,6,0.0,5025.96,3033.47,1992.49,C3712,20241226
10157,2024-08-24,North,Enterprise,Accessories,Headset,645.45,7,0.0,4518.15,2138.52,2379.63,C5018,20240824
10158,2024-05-02,South,Consumer,Accessories,USB-C Cable,981.24,6,0.15,5004.32,3351.38,1652.94,C9135,20240502
10159,2024-10-10,East,Consumer,Accessories,Headset,1251.45,4,0.1,4505.22,3005.1,1500.12,C9669,20241010
10160,2024-08-20,East,Consumer,Software,Antivirus Pro,1609.96,4,0.2,5151.87,3675.04,1476.83,C1950,20240820
10161,2025-12-26,South,Small Business,Accessories,Mouse,265.34,4,0.0,1061.36,760.85,300.51,C2865,20251226
10162,2025-07-20,East,Enterprise,Accessories,USB-C Cable,621.67,6,0.0,3730.02,2173.06,1556.96,C7359,20250720
10163,2024-04-15,North,Enterprise,Software,Office Suite,1090.69,8,0.0,8725.52,4626.6,4098.92,C3891,20240415
10164,2025-05-05,West,Small Business,Accessories,Mouse,1391.44,3,0.05,3965.6,2537.8,1427.8,C3116,20250505
10165,2024-09-15,West,Consumer,Accessories,USB-C Cable,1489.8,8,0.0,11918.4,7035.41,4882.99,C1814,20240915
10166,2025-05-18,North,Enterprise,Hardware,"Laptop 13""",524.68,8,0.0,4197.44,2787.14,1410.3,C8790,20250518
10167,2024-06-04,South,Enterprise,Software,Antivirus Pro,1309.44,4,0.15,4452.1,3234.58,1217.52,C4876,20240604
10168,2024-09-11,North,Enterprise,Software,Analytics Pro,1275.66,1,0.0,1275.66,844.93,430.73,C6109,20240911
10169,2025-09-02,South,Enterprise,Software,Office Suite,147.48,8,0.1,1061.86,816.29,245.57,C2792,20250902
10170,2025-03-29,East,Enterprise,Software,Office Suite,211.81,5,0.0,1059.05,545.64,513.41,C4030,20250329
10171,2025-08-05,North,Enterprise,Hardware,"Laptop 13""",1658.23,6,0.0,9949.38,6536.21,3413.17,C3708,20250805
10172,2024-07-31,South,Small Business,Hardware,"Laptop 13""",688.34,5,0.0,3441.7,2515.88,925.82,C5212,20240731
10173,2024-06-09,South,Consumer,Hardware,"Laptop 13""",1090.27,3,0.0,3270.81,2087.07,1183.74,C8973,20240609
10174,2024-06-09,North,Small Business,Software,Analytics Pro,629.31,2,0.0,1258.62,970.97,287.65,C7783,20240609
10175,2025-08-31,West,Small Business,Accessories,Keyboard,411.27,3,0.0,1233.81,804.66,429.15,C6299,20250831
10176,2024-10-22,East,Enterprise,Software,Antivirus Pro,759.3,8,0.0,6074.4,4392.85,1681.55,C5757,20241022
10177,2025-12-04,South,Small Business,Hardware,"Laptop 15""",403.19,2,0.05,766.06,392.46,373.6,C4432,20251204
10178,2025-03-11,North,Enterprise,Accessories,Keyboard,275.25,6,0.1,1486.35,947.21,539.14,C7704,20250311
10179,2024-09-29,South,Consumer,Accessories,Keyboard,545.58,7,0.0,3819.06,2787.62,1031.44,C3079,20240929
10180,2024-11-10,East,Small Business,Accessories,USB-C Cable,847.6,1,0.0,847.6,521.46,326.14,C8186,20241110
10181,2025-12-06,East,Enterprise,Software,Office Suite,126.68,3,0.0,380.04,240.77,139.27,C6083,20251206
10182,2025-05-27,West,Small Business,Accessories,Mouse,870.63,6,0.1,4701.4,2285.08,2416.32,C4335,20250527
10183,2025-03-18,East,Enterprise,Software,Antivirus Pro,1552.46,7,0.1,9780.5,5333.36,4447.14,C7305,20250318
10184,2024-04-03,South,Enterprise,Hardware,"Laptop 13""",741.04,7,0.2,4149.82,3087.16,1062.66,C4462,20240403
10185,2025-11-19,East,Enterprise,Accessories,Keyboard,1189.13,1,0.0,1189.13,640.78,548.35,C9519,20251119
10186,2025-04-26,West,Small Business,Accessories,USB-C Cable,195.46,5,0.0,977.3,663.06,314.24,C4054,20250426
10187,2025-10-12,West,Consumer,Software,Office Suite,1299.98,3,0.0,3899.94,2740.85,1159.09,C3538,20251012
10188,2025-02-22,East,Small Business,Hardware,"Laptop 13""",1733.1,4,0.05,6585.78,3436.09,3149.69,C1822,20250222
10189,2024-06-13,East,Small Business,Hardware,"Monitor 27""",1614.34,7,0.05,10735.36,7595.98,3139.38,C5242,20240613
10190,2024-10-22,West,Enterprise,Accessories,USB-C Cable,228.89,3,0.0,686.67,410.28,276.39,C9705,20241022
10191,2024-03-31,East,Small Business,Software,Antivirus Pro,1639.93,5,0.0,8199.65,4434.36,3765.29,C2409,20240331
10192,2025-02-17,North,Enterprise,Hardware,"Monitor 27""",659.24,7,0.0,4614.68,3084.69,1529.99,C2279,20250217
10193,2025-02-27,North,Consumer,Hardware,Desktop Tower,997.72,2,0.1,1795.9,946.13,849.77,C2387,20250227
10194,2025-09-29,West,Enterprise,Software,Antivirus Pro,259.94,8,0.2,1663.62,1022.91,640.71,C5831,20250929
10195,2024-07-27,East,Enterprise,Accessories,Headset,770.56,3,0.0,2311.68,1640.35,671.33,C5033,20240727
10196,2025-03-24,West,Consumer,Accessories,Keyboard,1143.56,7,0.0,8004.92,5409.48,2595.44,C3541,20250324
10197,2025-12-27,South,Small Business,Hardware,"Laptop 13""",1772.06,2,0.0,3544.12,1617.67,1926.45,C6475,20251227
10198,2025-07-19,West,Consumer,Accessories,Mouse,901.08,2,0.0,1802.16,1221.86,580.3,C2622,20250719
10199,2025-04-17,North,Enterprise,Accessories,USB-C Cable,199.88,6,0.0,1199.28,917.46,281.82,C1645,20250417
10200,2024-10-25,East,Small Business,Software,Office Suite,1320.34,2,0.05,2508.65,1712.81,795.84,C9646,20241025
10201,2024-09-06,West,Enterprise,Accessories,USB-C Cable,1035.77,1,0.0,1035.77,604.99,430.78,C3681,20240906
10202,2024-07-14,South,Consumer,Software,Office Suite,764.87,2,0.0,1529.74,1083.53,446.21,C3866,20240714
10203,2024-12-14,East,Consumer,Software,Analytics Pro,170.79,3,0.0,512.37,300.38,211.99,C6415,20241214
10204,2024-11-01,West,Consumer,Software,Analytics Pro,792.01,4,0.05,3009.64,1667.32,1342.32,C2333,20241101
10205,2025-05-10,East,Small Business,Hardware,"Monitor 27""",861.61,8,0.15,5858.95,4138.76,1720.19,C6408,20250510
10206,2025-04-11,East,Consumer,Hardware,"Laptop 15""",492.41,4,0.0,1969.64,1466.47,503.17,C8101,20250411
10207,2025-08-08,West,Consumer,Software,Antivirus Pro,1719.83,2,0.05,3267.68,2012.84,1254.84,C3120,20250808
10208,2024-11-21,West,Enterprise,Software,Office Suite,143.57,1,0.0,143.57,100.03,43.54,C2639,20241121
10209,2025-11-10,South,Small Business,Accessories,Keyboard,787.78,7,0.0,5514.46,2631.6,2882.86,C5203,20251110
10210,2025-05-29,East,Consumer,Software,Antivirus Pro,1253.2,6,0.0,7519.2,4333.62,3185.58,C5090,20250529
10211,2025-06-22,West,Consumer,Hardware,"Laptop 15""",1732.12,1,0.15,1472.3,892.36,579.94,C8982,20250622
10212,2025-02-23,South,Consumer,Software,Office Suite,164.29,8,0.1,1182.89,796.83,386.06,C2750,20250223
10213,2024-12-12,West,Enterprise,Accessories,Headset,1305.87,6,0.2,6268.18,4802.54,1465.64,C6387,20241212
10214,2025-11-21,West,Small Business,Hardware,"Monitor 27""",405.19,9,0.15,3099.7,1437.64,1662.06,C5873,20251121
10215,2025-07-08,North,Enterprise,Accessories,Keyboard,1062.58,1,0.0,1062.58,689.38,373.2,C1390,20250708
10216,2025-10-08,East,Consumer,Hardware,"Laptop 13""",69.8,5,0.05,331.55,171.55,160.0,C9007,20251008
10217,2025-03-20,North,Enterprise,Hardware,"Laptop 13""",1748.17,7,0.1,11013.47,7828.07,3185.4,C3419,20250320
10218,2025-03-30,South,Enterprise,Software,Antivirus Pro,1521.59,2,0.0,3043.18,2055.95,987.23,C8693,20250330
10219,2024-02-17,East,Consumer,Software,Office Suite,1076.92,3,0.0,3230.76,1997.81,1232.95,C1130,20240217
10220,2025-01-18,West,Consumer,Accessories,USB-C Cable,1256.05,8,0.0,10048.4,5944.33,4104.07,C9230,20250118
10221,2025-08-02,South,Consumer,Accessories,Mouse,573.68,1,0.0,573.68,391.01,182.67,C8564,20250802
10222,2025-09-16,West,Enterprise,Hardware,"Laptop 15""",1129.97,2,0.0,2259.94,1705.2,554.74,C5346,20250916
10223,2025-05-24,South,Consumer,Software,Analytics Pro,1575.59,2,0.15,2678.5,1954.16,724.34,C8206,20250524
10224,2024-09-17,West,Small Business,Hardware,"Laptop 13""",25.99,1,0.0,25.99,16.06,9.93,C1271,20240917
